"24";"GK0022";"uehara";"3";"0000-00-00";"2";"1";"19440";"120";"8";"0";"0";"NULL";"3";"35";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"25";"GK0023";"AV debut";"3";"0000-00-00";"2";"1";"19440";"120";"8";"0";"0";"NULL";"3";"32";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"26";"GK0024";"morino";"3";"0000-00-00";"2";"1";"19440";"120";"8";"0";"0";"NULL";"3";"24";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"27";"GK0025";"enkou";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"32";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"28";"GK0027";"babamegane R-1";"1";"0000-00-00";"1";"1";"6300";"40";"8";"0";"0";"NULL";"3";"19";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"29";"GK0026";"cyoukyou";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"56";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"30";"GK0030";"NTSU-032";"5";"0000-00-00";"2";"1";"38880";"240";"16";"0";"0";"NULL";"3";"17";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"31";"GK0029";"babamegane R-2";"1";"0000-00-00";"1";"1";"6300";"40";"8";"0";"0";"NULL";"3";"23";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"32";"GK0031";"mensetsu";"4";"0000-00-00";"1";"1";"41040";"120";"24";"0";"0";"NULL";"3";"33";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"33";"GK0035";"babamegane R-3";"1";"0000-00-00";"1";"1";"6300";"40";"24";"0";"0";"NULL";"3";"20";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
