"139","GK0136","gokuraku baz11","1","7/31/2015","2","1","9000","120","12","0","0","NULL","3","33","0000-00-00 00:00:00","7/30/2015 9:26","7/24/2015 18:11","0000-00-00 00:00:00"
"140","GK0137","gokuraku baz12","1","7/31/2015","2","1","9000","120","12","0","0","NULL","3","24","0000-00-00 00:00:00","7/29/2015 17:02","7/24/2015 18:11","0000-00-00 00:00:00"
"141","GK0139","porcom h432","2","8/4/2015","1","3","23940","70","12","0","0","??????????????????????!","3","16","0000-00-00 00:00:00","7/31/2015 17:56","7/30/2015 14:08","0000-00-00 00:00:00"
"142","GK0138","porcom r466","2","8/5/2015","1","1","37620","110","24","0","0","????vsic????????","3","18","0000-00-00 00:00:00","7/31/2015 17:51","7/30/2015 14:09","0000-00-00 00:00:00"
"143","GK0140","gokuraku panst","1","8/12/2015","1","1","31666","200","40","0","0","NULL","3","65","0000-00-00 00:00:00","8/6/2015 10:55","8/3/2015 17:01","0000-00-00 00:00:00"
"144","GK0141","gokuraku mansyon2","1","8/13/2015","1","1","38000","240","48","0","0","NULL","3","69","0000-00-00 00:00:00","8/7/2015 14:39","8/3/2015 22:07","0000-00-00 00:00:00"
"145","GK0142","oredo asahi","4","8/6/2015","1","5","41040","120","24","0","0","???!","3","28","0000-00-00 00:00:00","8/6/2015 14:20","8/4/2015 12:37","0000-00-00 00:00:00"
"146","GK0143","porcom r467","2","8/11/2015","1","1","32504","95","16","0","0","vsic???????","3","15","0000-00-00 00:00:00","8/7/2015 13:26","8/5/2015 21:37","0000-00-00 00:00:00"
"147","GK0144","porcom h434","2","8/11/2015","1","3","22230","65","12","0","0","????????????????????","3","9","0000-00-00 00:00:00","8/7/2015 14:44","8/5/2015 21:38","0000-00-00 00:00:00"
"148","GK0145","gokuraku hina","1","8/17/2015","1","1","19000","120","24","0","0","NULL","1","27","NULL","NULL","8/6/2015 18:22","8/11/2015 13:37"
"149","GK0146","queen 057","7","8/17/2015","1","5","41040","120","24","0","0","NULL","1","0","NULL","NULL","8/7/2015 19:13","0000-00-00 00:00:00"
"150","GK0147","sept konisi","3","8/18/2015","1","5","41040","120","24","0","0","NULL","1","0","NULL","NULL","8/7/2015 19:25","0000-00-00 00:00:00"
