"1";"GK00013";"nannpaheaven";"1";"2015-02-02 17:08:00";"1";"1";"20000";"50";"12";"NULL";"NULL";"NULL";"3";"20";"2015-01-30 09:00:00";"2015-02-02 12:40:00";"2015-01-30 08:16:00";"NULL"
"2";"GK00014";"nannpaheaven";"1";"2015-02-05 12:08:00";"1";"1";"10000";"36";"6";"NULL";"NULL";"NULL";"3";"12";"2015-02-02 15:00:00";"2015-02-05 12:00:00";"2015-02-02 08:00:00";"NULL"
"3";"GK0001";"tsukuba";"1";"2015-02-28 09:08:00";"2";"1";"19800";"120";"8";"NULL";"NULL";"NULL";"3";"20";"2015-02-05 13:30:00";"2015-02-09 17:00:00";"2015-02-09 08:00:00";"NULL"
"4";"GK0002";"tsukuba";"1";"2015-02-28 11:08:00";"2";"1";"19800";"120";"8";"NULL";"NULL";"NULL";"3";"20";"2015-02-05 13:30:00";"2015-02-09 17:00:00";"2015-02-09 08:00:00";"NULL"
"5";"GK0003";"tsukuba";"1";"2015-02-28 11:08:00";"2";"1";"19800";"120";"8";"NULL";"NULL";"NULL";"3";"17";"2015-02-05 13:30:00";"2015-02-09 14:25:00";"2015-02-09 08:00:00";"NULL"
"6";"GK0004";"akasuri";"1";"2015-02-28 17:08:00";"1";"1";"82080";"240";"48";"NULL";"NULL";"NULL";"3";"33";"2015-02-05 13:30:00";"2015-02-11 14:18:00";"2015-02-13 08:00:00";"NULL"
"7";"GK0006";"bazx008";"6";"2015-02-11 17:08:00";"2";"1";"19440";"120";"8";"NULL";"NULL";"NULL";"3";"24";"2015-02-09 14:07:00";"2015-02-12 13:30:00";"2015-02-10 08:00:00";"NULL"
"8";"GK0009";"wosyuret_kouhen";"6";"2015-02-14 10:08:00";"2";"1";"19440";"120";"8";"NULL";"NULL";"NULL";"3";"19";"2015-02-10 12:00:00";"2015-02-12 14:25:00";"2015-02-12 08:00:00";"NULL"
"9";"GK0007";"bazx005";"6";"2015-02-12 17:08:00";"2";"1";"19440";"120";"8";"NULL";"NULL";"NULL";"3";"26";"2015-02-10 08:00:00";"2015-02-12 17:30:00";"2015-02-11 08:00:00";"NULL"
"10";"GK0008";"wosyuret";"6";"2015-02-14 13:08:00";"2";"1";"19440";"120";"8";"NULL";"NULL";"NULL";"3";"25";"2015-02-10 15:30:00";"2015-02-16 08:00:00";"2015-02-13 08:00:00";"NULL"
