108,2014-10-07,1,4,2,4.75,1,1,lunch
109,2014-10-07,1,4,2,1,1,1,coca
110,2014-10-08,1,4,2,24.1,1,1,dinner
111,2014-10-08,1,3,2,284,1,1,sun glasses
112,2014-10-08,1,4,2,0.125,1,1,water
113,2014-10-09,1,3,2,162,1,1,smartphone
114,2014-10-09,1,4,2,5.4,1,1,lunch
115,2014-10-09,1,8,2,0.25,1,1,parking
116,2014-10-09,1,11,2,30,2,1,SIM
117,2014-10-09,1,4,2,5.1,2,1,lunch
118,2014-10-09,1,4,2,0.5,1,1,coca
119,2014-10-09,1,4,2,0.125,1,1,water
120,2014-10-10,1,4,2,7,1,1,lunch
121,2014-10-10,1,4,2,5.5,1,1,dinner
122,2014-10-10,1,8,2,10,1,1,to Hotel
123,2014-10-10,1,3,2,3.65,1,1,hanger
124,2014-10-10,1,3,2,5,1,1,sandal
125,2014-10-11,1,9,3,11,1,1,
126,2014-10-11,1,3,2,6.74,1,1,cough candy and mask
127,2014-10-11,1,4,2,4.3,1,1,breakfast
128,2014-10-11,1,4,2,2.3,1,1,coffee
129,2014-10-11,1,4,2,0.25,2,1,water
130,2014-10-12,1,4,2,1.375,1,1,breakfast
131,2014-10-13,1,4,2,46,1,1,dinner
132,2014-10-13,1,4,2,8.25,1,1,dinner
133,2014-10-13,1,4,2,6.5,1,1,lunch
134,2014-10-13,1,4,2,1.6,1,1,coffee
135,2014-10-13,1,13,1,5.5,1,1,footsal
136,2014-10-13,1,4,2,5,1,1,lunch
137,2014-10-13,1,4,2,2.1,1,1,coffee
138,2014-10-13,1,12,2,44,2,1,visa
139,2014-10-13,1,8,2,4.3,1,1,gas
140,2014-10-13,1,4,2,1.8,1,1,snack
141,2014-10-13,1,4,2,0.75,1,1,water
142,2014-10-14,1,4,2,6.3,1,1,dinner
143,2014-10-14,1,4,2,6,1,1,lunch
144,2014-10-14,1,13,1,30,1,1,massage
145,2014-10-14,1,4,2,2.1,1,1,coffee
146,2014-10-14,1,4,2,1.5,1,1,juice
147,2014-10-14,1,7,3,8,1,1,
148,2014-10-14,1,7,3,10,1,1,
149,2014-10-14,1,4,2,4,1,1,breakfast
150,2014-10-15,1,4,2,8,1,1,dinner
151,2014-10-15,1,4,2,7.25,1,1,
152,2014-10-15,1,4,2,8,1,1,meeting
153,2014-10-15,1,7,3,26,1,1,
