id,date,project id,expense_item_id,expense_type_id,price,budget_type_id,currency_id,note
622,2015-02-03,1,8,2,0.25,2,1,parking
623,2015-02-03,1,8,2,0.25,2,1,parking
624,2015-02-04,1,12,2,200,2,1,tip for company registration
625,2015-02-04,2,4,2,1,1,1,lunch
626,2015-02-05,2,4,2,2,1,1,lunch
627,2015-02-05,2,9,3,741,1,1,bike compensation
628,2015-02-05,1,8,2,2.83,2,1,gas
629,2015-02-05,1,8,2,60,2,1,0
630,2015-02-05,1,2,1,40,2,1,HP Cartridge ink *4
631,2015-02-05,2,2,1,183,1,1,"HDD, HeadPhone, "
632,2015-02-05,1,2,1,3,2,1,print paper
633,2015-02-05,1,19,1,934,2,1,salary for 6
634,2015-02-06,1,2,1,9,2,1,water server
635,2015-02-07,2,4,2,1,1,1,lunch
636,2015-02-07,2,20,1,67.88,1,1,dinner
637,2015-02-07,1,8,2,0.25,2,1,parking
638,2015-02-07,2,14,1,1,1,1,killing field
639,2015-02-07,2,20,1,52,1,1,club
640,2015-02-07,2,9,3,10,1,1,tip for two
641,2015-02-09,2,4,2,1,1,1,lunch
642,2015-02-10,1,2,1,8.5,2,1,LanCable 5M
643,2015-02-10,2,4,2,1,1,1,lunch
644,2015-02-11,1,8,2,0.7,2,1,gas
645,2015-02-11,1,2,1,2.625,2,1,post office
646,2015-02-11,2,4,2,7,1,1,lunch
647,2015-02-12,2,20,1,22,1,1,lunch with staff
648,2015-02-12,2,7,3,164.59,1,1,bgerdain
649,2015-02-12,1,8,2,0.5,2,1,parking
650,2015-02-13,2,4,2,1,1,1,lunch
651,2015-02-13,1,2,1,24,2,1,Lan cable 19M
652,2015-02-13,1,2,1,58,2,1,Switch HUB 8Port
653,2015-02-14,2,7,3,190,1,1,prince
654,2015-02-15,2,7,3,20.5,1,1,prince
655,2015-02-15,1,8,2,3.2,2,1,gas
656,2015-02-15,2,4,2,10,1,1,dinner
657,2015-02-14,2,21,1,10,1,1,en
658,2015-02-16,2,4,2,1,1,1,lunch
659,2015-02-16,2,4,2,10.75,1,1,milk
660,2015-02-17,1,1,2,715,2,1,0
661,2015-02-17,1,17,2,204,2,1,electrycity
662,2015-02-17,1,15,2,249,2,1,opennet
663,2015-02-17,2,4,2,14.7,1,1,honey
664,2015-02-17,1,2,1,1,2,1,plastic bag
665,2015-02-18,2,4,2,1,1,1,lunch
666,2015-02-19,2,4,2,1,1,1,lunch
667,2015-02-20,1,8,2,5,2,1,tuktuk
668,2015-02-20,1,8,2,7,2,1,taxi
669,2015-02-20,1,19,1,300,2,1,soun
670,2015-02-21,2,21,1,30,1,1,ajisen ramen
671,2015-02-21,1,2,1,1220,2,1,"PC 500, monitor 110"
672,2015-02-22,2,21,1,17.5,1,1,lunch with tanaka san
673,2015-02-22,2,4,2,4.2,1,1,milk
674,2015-02-23,2,4,2,1,1,1,lunch
675,2015-02-24,2,4,2,1,1,1,lunch
676,2015-02-25,2,4,2,1,1,1,lunch
677,2015-02-25,2,2,1,18,1,1,aloma candle
678,2015-02-25,1,12,2,250,2,1,patent certificate
679,2015-02-25,1,12,2,50,2,1,tax
680,2015-02-25,1,12,2,150,2,1,tip
681,2015-02-25,1,8,2,0.25,2,1,parking
682,2015-02-26,2,4,2,1,1,1,lunch
683,2015-02-26,2,2,1,5,1,1,frame
684,2015-02-26,1,2,1,5,2,1,plastic bag
685,2015-02-27,2,4,2,1,1,1,lunch
686,2015-02-27,2,21,1,20,1,1,intercontinental
687,2015-02-28,1,11,2,35,2,1,top card
688,2015-02-27,2,4,2,10,1,1,dinner
689,2015-02-28,2,3,2,28,1,1,hair cut
690,2015-03-01,1,8,2,60,2,1,rental
691,2015-03-01,2,4,2,23.3,1,1,"milk, snacks, "
692,2015-03-01,1,19,1,2500,2,1,Tsubasa
693,2015-03-02,2,20,1,23,1,1,lunch with all staff
694,2015-03-02,1,2,1,50,2,1,repair air conditioner
695,2015-03-03,2,4,2,1,1,1,lunch
696,2015-03-04,2,4,2,1,1,1,lunch
697,2015-03-05,2,4,2,1,1,1,lunch
698,2015-03-05,1,8,2,0.125,2,1,parking at water supply
699,2015-03-05,1,19,1,943,2,1,salary
700,2015-03-05,1,18,2,8.3875,2,1,water 12/20-2/13
701,2015-03-05,2,21,1,50,1,1,tip for prince
702,2015-03-05,1,8,2,3.3,2,1,gas
703,2015-03-06,2,4,2,1,1,1,lunch
704,2015-03-06,1,20,1,27.38,2,1,birthday cake
705,2015-03-06,1,20,1,80,2,1,welcome party
706,2015-03-06,2,20,1,130,1,1,welcome party
707,2015-03-06,2,9,3,22,1,1,tip
708,2015-03-07,2,4,2,16.85,1,1,"milk, oil, banana"
709,2015-03-08,2,4,2,10,1,1,dinner
710,2015-03-09,1,2,1,9,2,1,water server
711,2015-03-08,2,13,1,5.5,1,1,footsal
712,2015-03-08,2,4,2,0.5,1,1,fruits juice
713,2015-03-10,2,4,2,1,1,1,lunch
714,2015-03-11,2,4,2,1,1,1,lunch
715,2015-03-12,2,4,2,1,1,1,lunch
716,2015-03-11,2,21,1,10,1,1,tshirts
717,2015-03-11,2,13,1,6,1,1,footsal
718,2015-03-12,2,13,1,6,1,1,footsal
719,2015-03-12,2,20,1,5,1,1,footsal
720,2015-03-12,2,20,1,6,1,1,juice
721,2015-03-13,2,4,2,1,1,1,lunch
722,2015-03-13,1,8,2,0.125,2,1,parking
723,2015-03-14,1,11,2,10,2,1,top up
724,2015-03-14,2,13,1,20,1,1,massage
725,2015-03-15,2,21,1,1,1,1,coffee
726,2015-03-15,2,21,1,50,1,1,wedding
727,2015-03-13,2,4,2,3.95,1,1,milk
